sgg1994,sgg2015
11000,11000
21000,21000
22000,22000
23000,23000
24000,24000
25000,25000
31010,31010
31020,31020
31030,31030
31040,31040
31050,31050
31060,31060
31070,31070
31080,31080
31090,31090
31100,31100
31110,31110
31120,31120
31130,31070
31140,31130
31150,31140
31160,31150
31170,31160
31180,31170
31190,31180
31310,31260
31320,31280
31330,31070
31340,31240
31350,31200
31360,31250
31370,31350
31380,31270
31390,31370
31400,31380
31410,31210
31420,31190
31430,31220
31440,31230
32010,32010
32020,32020
32030,32030
32040,32040
32050,32050
32060,32060
32070,32070
32310,32310
32320,32320
32330,32330
32340,32340
32350,32350
32360,32360
32370,32370
32380,32380
32390,32390
32400,32400
32410,32410
33010,33040
33020,33020
33030,33030
33310,33040
33320,33320
33330,33330
33340,33340
33350,33350
33360,33360
33370,33370
33380,33380
33390,33390
34010,34010
34020,34020
34030,34030
34040,34040
34050,34050
34310,34310
34320,29000
34330,34060
34340,34330
34350,34340
34360,34350
34370,34360
34380,34370
34390,34380
34400,34080
34410,34010
34420,34070
35010,35010
35020,35020
35030,35030
35040,35040
35050,35050
35060,35060
35310,35310
35320,35320
35330,35330
35340,35340
35350,35350
35360,35360
35370,35370
35380,35380
35390,35030
36010,36010
36020,36020
36030,36030
36040,36040
36050,36020
36060,36060
36310,36310
36320,36320
36330,36330
36340,36020
36350,36350
36360,36360
36370,36370
36380,36380
36390,36390
36400,36400
36410,36410
36420,36420
36430,36430
36440,36440
36450,36450
36460,36460
36470,36470
36480,36480
37010,37010
37020,37020
37030,37030
37040,37040
37050,37050
37060,37060
37070,37070
37080,37080
37090,37090
37100,37100
37310,37310
37320,37320
37330,37330
37340,37340
37350,37350
37360,37360
37370,37370
37380,37380
37390,37390
37400,37400
37410,37410
37420,37420
37430,37430
38010,38110
38020,26000
38030,38110
38040,38030
38050,38110
38060,38050
38070,38060
38080,38070
38090,38080
38100,38090
38310,38310
38320,38320
38330,38330
38340,38100
38350,38070
38360,32400
38370,38060
38380,38350
38390,38360
38400,38370
38410,38380
38420,38390
38430,38400
39010,39010
39020,39020
39310,39010
39320,39020
